DateTime,18_DT-S-12_RAW-f-cfs,18_DT-S-12_RAW-d-ft,18_DT-S-12_Missing,18_DT-S-12_Realtime-f,18_DT-S-12_Realtime-d,18_DT-S-12_COM-K,18_DT-S-12_COM-T,18_DT-S-12_COM-M,18_DT-S-12_COM-AUT,18_DT-S-12_COM-I,19_DT-S-3_ORAW1-f,19_DT-S-3_ORAW1-d,PG002_PG002_RN1,PG020_PG020_RN2,PG026_PG026_RN3,Greenline
02-15-2021 00:00,190.02,4.614,,190.149,4.618,213.96,,,,,30.787,1.498,0,0,0,206.651
02-15-2021 01:00,173.85,4.415,,176.626,4.449,195.752,,,,,22.774,1.472,0,0,0,208.918
02-15-2021 02:00,127.81,3.755,,131.817,3.815,143.912,,,,,19.46,1.428,0,0,0,208.983
02-15-2021 03:00,94.638,3.154,,84.968,3.19,106.561,,,,,19.002,1.398,0,0,0,205.652
02-15-2021 04:00,87.748,2.975,,73.112,2.975,98.803,,,,,19.168,1.373,0,0,0,199.855
02-15-2021 05:00,113.019,3.374,,100.072,3.31,127.258,,,,,18.342,1.356,0,0,0,195.453
02-15-2021 06:00,170.017,4.114,,168.164,4.077,191.436,,,,,18.328,1.338,0,0,0,194.232
02-15-2021 07:00,145.001,3.94,,150.475,4.001,163.268,,,,,18.039,1.333,0,0,0,185.911
02-15-2021 08:00,88.936,3.006,,79.31,3.079,100.14,,,,,17.678,1.338,0,0,0,170.432
02-15-2021 09:00,66.892,2.434,,49.817,2.46,75.319,,,,,17.949,1.352,0,0,0,160.703
02-15-2021 10:00,60.561,2.269,,42.389,2.275,68.19,,,,,19.109,1.372,0,0,0,159.582
02-15-2021 11:00,58.866,2.225,,40.565,2.226,66.282,,,,,19.841,1.392,0,0,0,157.566
02-15-2021 12:00,60.137,2.258,,41.835,2.259,67.713,,,,,20.291,1.439,0,0,0,157.622
02-15-2021 13:00,59.851,2.251,,41.709,2.254,67.392,,,,,32.352,1.533,0,0,0,155.892
02-15-2021 14:00,60.644,2.272,,42.195,2.267,68.284,,,,,34.189,1.568,0,0,0,157.825
02-15-2021 15:00,77.368,2.706,,57.886,2.632,87.115,,,,,34.163,1.565,0,0,0,158.191
02-15-2021 16:00,105.857,3.34,,93.968,3.306,119.193,,,,,34.538,1.574,0,0,0,162.567
02-15-2021 17:00,143.974,4.01,,99.512,3.957,162.112,,,,,34.884,1.587,0,0,0,180.457
02-15-2021 18:00,140.161,4.336,,.209,4.319,156.723,,,,175.102,34.16,1.574,0,0,0,215.643
02-15-2021 19:00,127.869,4.723,,97.598,4.682,236.223,,,,208.151,32.962,1.543,0,0,0,231.683
02-15-2021 20:00,217.57,5.035,,217.48,5.023,244.98,,,,,32.917,1.534,0,0,0,234.377
02-15-2021 21:00,207.018,4.993,,210.745,5.031,234.964,,,,208.67,32.613,1.528,0,0,0,226.614
02-15-2021 22:00,109.23,4.482,,29.11,4.514,161.62,,,,186.249,31.961,1.524,0,0,0,221.423
02-15-2021 23:00,172.366,4.485,,143.324,4.473,194.081,,,,,31.761,1.517,0,0,0,222.642
02-16-2021 00:00,193.062,4.598,,192.729,4.592,217.384,,,,,29.72,1.494,0,0,0,224.771
02-16-2021 01:00,188.66,4.567,,189.685,4.578,212.428,,,,,24.927,1.477,0,0,0,222.109
02-16-2021 02:00,161.313,4.293,,164.175,4.328,181.636,,,,,18.864,1.444,0,0,0,220.294
02-16-2021 03:00,137.934,3.9,,138.804,3.924,155.311,,,,,17.964,1.42,0,0,0,218.124
02-16-2021 04:00,137.629,3.796,,137.215,3.795,154.967,,,,,17.52,1.393,0,0,0,214.155
02-16-2021 05:00,145.32,3.852,,144.715,3.846,163.628,,,,,17.161,1.367,0,0,0,208.452
02-16-2021 06:00,132.105,3.719,,135.456,3.754,148.748,,,,,16.316,1.347,0,0,0,202.986
02-16-2021 07:00,92.622,3.102,,83.403,3.155,104.29,,,,,16.368,1.337,0,0,0,188.698
02-16-2021 08:00,89.055,3.009,,72.709,2.961,100.274,,,,,16.549,1.337,0,0,0,165.207
02-16-2021 09:00,130.99,3.885,,124.67,3.837,147.492,,,,,16.676,1.343,0,0,0,153.369
02-16-2021 10:00,143.621,3.87,,144.705,3.892,161.714,,,,,16.9,1.366,0,0,0,148.594
02-16-2021 11:00,130.878,3.674,,131.791,3.688,147.366,,,,,18.508,1.4,0,0,0,146.339
02-16-2021 12:00,121.858,3.524,,122.338,3.533,137.211,,,,,17.801,1.428,0,0,0,146.672
02-16-2021 13:00,109.554,3.46,,107.209,3.461,123.356,,,,,20.442,1.462,0,0,0,145.859
02-16-2021 14:00,124.784,3.537,,124.101,3.53,140.505,,,,,29.287,1.494,0,0,0,145.584
02-16-2021 15:00,135.347,3.727,,134.413,3.705,152.398,,,,,31.084,1.528,0,0,0,148.302
02-16-2021 16:00,124.646,3.771,,124.853,3.775,140.35,,,,,32.435,1.555,0,0,0,152.71
02-16-2021 17:00,132.441,3.704,,133.914,3.725,149.127,,,,,33.027,1.564,0,0,0,170.35
02-16-2021 18:00,121.926,3.538,,116.355,3.515,137.287,,,,,32.749,1.556,0,0,0,217.4
02-16-2021 19:00,167.639,4.128,,166.978,4.1,188.759,,,,,31.945,1.529,0,0,0,227.569
02-16-2021 20:00,152.825,4.044,,153.885,4.058,172.079,,,,,31.104,1.513,0,0,0,223.427
02-16-2021 21:00,150.083,3.976,,150.196,3.98,168.991,,,,,30.917,1.508,0,0,0,224.883
02-16-2021 22:00,144.514,3.91,,146.038,3.927,162.721,,,,,30.461,1.501,0,0,0,228.317
02-16-2021 23:00,109.064,3.44,,107.269,3.481,122.804,,,,,29.609,1.491,0,0,0,226.791
02-17-2021 00:00,134.29,3.662,,127.349,3.606,151.208,,,,,25.167,1.477,0,0,0,226.189
02-17-2021 01:00,154.628,3.989,,155.309,3.991,174.108,,,,,19.715,1.457,0,0,0,222.18
02-17-2021 02:00,141.447,3.831,,142.465,3.846,159.267,,,,,18.751,1.432,0,0,0,221.845
02-17-2021 03:00,134.948,3.702,,134.707,3.703,151.949,,,,,18.418,1.404,0,0,0,217.085
02-17-2021 04:00,138.394,3.749,,138.379,3.749,155.829,,,,,17.512,1.377,0,0,0,212.236
