DateTime,32_FA-S-1_RAW-f-cfs,32_FA-S-1_RAW-d-in,32_FA-S-1_Missing,32_FA-S-1_Realtime-f,32_FA-S-1_Realtime-d,32_FA-S-1_COM-K,32_FA-S-1_COM-M,32_FA-S-1_COM-AUT,32_FA-S-1_COM-I,32_FA-S-1_COM,PG007_PG007_RN1,PG032_PG032_RN2,PG033_PG033_RN3,Greenline
02-15-2021 00:00,1.522,7.585,,1.522,7.586,1.494,,,,1.494,0,0,0,1.975
02-15-2021 01:00,1.34,6.979,,1.34,6.979,1.326,,,,1.326,0,0,0,1.837
02-15-2021 02:00,1.194,6.472,,1.194,6.473,1.189,,,,1.189,0,0,0,1.657
02-15-2021 03:00,1.053,5.961,,1.053,5.961,1.057,,,,1.057,0,0,.001,1.475
02-15-2021 04:00,.922,5.464,,.922,5.465,.932,,,,.932,0,0,0,1.327
02-15-2021 05:00,.825,5.083,,.825,5.083,.84,,,,.84,0,0,0,1.249
02-15-2021 06:00,.74,4.732,,.74,4.733,.758,,,,.758,0,0,0,1.206
02-15-2021 07:00,.716,4.632,,.716,4.632,.735,,,,.735,0,0,0,1.221
02-15-2021 08:00,.762,4.825,,.762,4.825,.78,,,,.78,0,0,.001,1.274
02-15-2021 09:00,.882,5.31,,.882,5.311,.895,,,,.895,0,0,0,1.501
02-15-2021 10:00,1.189,6.449,,1.189,6.45,1.184,,,,1.184,0,0,0,1.867
02-15-2021 11:00,1.503,7.521,,1.503,7.522,1.476,,,,1.476,0,0,0,2.037
02-15-2021 12:00,1.608,7.864,,1.608,7.865,1.573,,,,1.573,0,0,.001,2.083
02-15-2021 13:00,1.652,8.003,,1.652,8.004,1.614,,,,1.614,0,0,0,2.08
02-15-2021 14:00,1.696,8.141,,1.696,8.142,1.654,,,,1.654,0,0,0,2.074
02-15-2021 15:00,1.714,8.2,,1.715,8.2,1.671,,,,1.671,0,0,0,2.064
02-15-2021 16:00,1.68,8.09,,1.68,8.091,1.639,,,,1.639,0,0,0,2.038
02-15-2021 17:00,1.628,7.926,,1.628,7.926,1.591,,,,1.591,0,0,0,1.993
02-15-2021 18:00,1.493,7.491,,1.493,7.491,1.467,,,,1.467,0,0,0,1.911
02-15-2021 19:00,1.477,7.438,,1.477,7.438,1.452,,,,1.452,0,0,0,1.899
02-15-2021 20:00,1.543,7.654,,1.543,7.655,1.514,,,,1.514,0,0,.001,1.959
02-15-2021 21:00,1.649,7.994,,1.649,7.994,1.611,,,,1.611,0,0,.001,2.01
02-15-2021 22:00,1.678,8.085,,1.678,8.086,1.637,,,,1.637,0,0,0,2.031
02-15-2021 23:00,1.566,7.727,,1.566,7.728,1.534,,,,1.534,0,0,0,1.998
02-16-2021 00:00,1.51,7.548,,1.51,7.548,1.483,,,,1.483,0,0,0,1.933
02-16-2021 01:00,1.401,7.184,,1.401,7.185,1.382,,,,1.382,0,0,.001,1.802
02-16-2021 02:00,1.214,6.544,,1.215,6.545,1.208,,,,1.208,0,0,0,1.625
02-16-2021 03:00,1.062,5.995,,1.062,5.996,1.065,,,,1.065,0,0,0,1.46
02-16-2021 04:00,.898,5.374,,.898,5.374,.91,,,,.91,0,0,0,1.319
02-16-2021 05:00,.827,5.09,,.827,5.091,.842,,,,.842,0,0,0,1.23
02-16-2021 06:00,.777,4.889,,.777,4.889,.794,,,,.794,0,0,0,1.182
02-16-2021 07:00,.747,4.762,,.747,4.763,.765,,,,.765,0,0,0,1.176
02-16-2021 08:00,.776,4.881,,.776,4.882,.793,,,,.793,0,0,0,1.261
02-16-2021 09:00,.896,5.364,,.896,5.364,.908,,,,.908,0,0,0,1.522
02-16-2021 10:00,1.129,6.235,,1.129,6.236,1.128,,,,1.128,0,0,0,1.885
02-16-2021 11:00,1.463,7.39,,1.463,7.391,1.439,,,,1.439,0,0,0,2.057
02-16-2021 12:00,1.544,7.657,,1.544,7.658,1.514,,,,1.514,0,0,0,2.063
02-16-2021 13:00,1.63,7.934,,1.63,7.934,1.594,,,,1.594,0,0,0,2.053
02-16-2021 14:00,1.649,7.995,,1.65,7.996,1.611,,,,1.611,0,0,0,2.054
02-16-2021 15:00,1.635,7.95,,1.635,7.95,1.598,,,,1.598,0,0,0,2.043
02-16-2021 16:00,1.62,7.902,,1.62,7.903,1.584,,,,1.584,0,0,0,2.006
02-16-2021 17:00,1.482,7.455,,1.482,7.455,1.457,,,,1.457,0,0,0,1.928
02-16-2021 18:00,1.478,7.442,,1.478,7.442,1.453,,,,1.453,0,0,0,1.902
02-16-2021 19:00,1.556,7.697,,1.556,7.698,1.526,,,,1.526,0,0,0,1.929
02-16-2021 20:00,1.571,7.745,,1.571,7.745,1.539,,,,1.539,0,0,0,2.006
02-16-2021 21:00,1.62,7.901,,1.62,7.902,1.584,,,,1.584,0,0,0,2.069
02-16-2021 22:00,1.615,7.886,,1.615,7.887,1.58,,,,1.58,0,0,0,2.113
02-16-2021 23:00,1.546,7.664,,1.546,7.665,1.516,,,,1.516,0,0,0,2.08
02-17-2021 00:00,1.448,7.343,,1.448,7.344,1.426,,,,1.426,0,0,0,1.92
02-17-2021 01:00,1.292,6.815,,1.292,6.816,1.281,,,,1.281,0,0,0,1.781
02-17-2021 02:00,1.114,6.183,,1.114,6.184,1.114,,,,1.114,0,0,0,1.597
02-17-2021 03:00,.941,5.536,,.941,5.536,.95,,,,.95,0,0,0,1.42
02-17-2021 04:00,.813,5.035,,.813,5.035,.829,,,,.829,0,0,0,1.269
02-17-2021 05:00,.739,4.728,,.739,4.729,.757,,,,.757,0,0,0,1.181
02-17-2021 06:00,.657,4.378,,.657,4.378,.678,,,,.678,0,0,0,1.142
02-17-2021 07:00,.656,4.377,,.657,4.377,.678,,,,.678,0,0,0,1.135
02-17-2021 08:00,.712,4.618,,.713,4.618,.732,,,,.732,0,0,0,1.213
02-17-2021 09:00,.868,5.254,,.868,5.254,.881,,,,.881,0,0,0,1.464
