DateTime,201_GPF-MAG_RAW-f-cfs,201_GPF-MAG_Missing,201_GPF-MAG_Realtime-f,201_GPF-MAG_COM-K,201_GPF-MAG_COM-M,201_GPF-MAG_COM-AUT,201_GPF-MAG_COM-I,201_GPF-MAG_COM,PG022_PG022_RN1,PG025_PG025_RN2,PG031_PG031_RN3,Greenline
02-15-2021 00:00,.517,,.518,,,,2.62,2.62,0,0,.001,3.564
02-15-2021 01:00,.517,,.518,,,,2.536,2.536,0,0,0,3.601
02-15-2021 02:00,.517,,.518,,,,2.402,2.402,0,0,0,3.269
02-15-2021 03:00,.517,,.518,,,,2.281,2.281,0,.001,0,3.131
02-15-2021 04:00,.517,,.518,,,,2.209,2.209,0,.001,0,3.052
02-15-2021 05:00,.517,,.518,,,,2.048,2.048,0,.002,0,2.98
02-15-2021 06:00,.517,,.518,,,,2.203,2.203,0,.001,0,3.097
02-15-2021 07:00,.517,,.518,,,,2.51,2.51,0,.001,0,3.35
02-15-2021 08:00,.517,,.518,,,,2.857,2.857,0,0,0,3.809
02-15-2021 09:00,.517,,.518,,,,3.043,3.043,0,0,0,3.983
02-15-2021 10:00,.517,,.518,,,,3.119,3.119,0,0,0,3.985
02-15-2021 11:00,.517,,.518,,,,3.066,3.066,0,.001,0,3.848
02-15-2021 12:00,.517,,.518,,,,2.97,2.97,0,0,0,3.761
02-15-2021 13:00,.517,,.518,,,,2.883,2.883,0,0,0,3.724
02-15-2021 14:00,.517,,.518,,,,3.035,3.035,0,0,0,3.711
02-15-2021 15:00,.517,,.518,,,,3.004,3.004,0,0,0,3.778
02-15-2021 16:00,.517,,.518,,,,3.001,3.001,0,0,0,3.722
02-15-2021 17:00,.517,,.518,,,,2.85,2.85,0,0,0,3.502
02-15-2021 18:00,.517,,.518,,,,2.902,2.902,0,0,0,3.564
02-15-2021 19:00,.517,,.518,,,,3.016,3.016,0,.002,0,3.735
02-15-2021 20:00,.517,,.518,,,,3.256,3.256,0,.004,0,3.736
02-15-2021 21:00,.517,,.518,,,,3.433,3.433,0,.002,0,3.667
02-15-2021 22:00,.517,,.518,,,,3.485,3.485,0,.002,0,3.824
02-15-2021 23:00,.517,,.518,,,,3.266,3.266,0,.002,0,3.55
02-16-2021 00:00,.517,,.518,,,,3.101,3.101,0,.002,0,3.336
02-16-2021 01:00,.517,,.518,,,,3.037,3.037,0,.001,0,3.248
02-16-2021 02:00,.517,,.518,,,,2.962,2.962,0,.002,0,3.243
02-16-2021 03:00,.517,,.518,,,,2.939,2.939,0,.001,0,3.269
02-16-2021 04:00,.517,,.518,,,,2.874,2.874,0,0,0,3.372
02-16-2021 05:00,.517,,.518,,,,2.687,2.687,0,0,0,3.165
02-16-2021 06:00,.517,,.518,,,,2.725,2.725,0,0,0,3.119
02-16-2021 07:00,.517,,.518,,,,3.091,3.091,0,0,0,3.304
02-16-2021 08:00,.517,,.518,,,,3.426,3.426,0,0,0,3.418
02-16-2021 09:00,.517,,.518,,,,3.738,3.738,0,0,0,3.617
02-16-2021 10:00,.517,,.518,,,,3.628,3.628,0,0,0,3.8
02-16-2021 11:00,.517,,.518,,,,3.503,3.503,0,0,0,3.723
02-16-2021 12:00,.517,,.518,,,,3.567,3.567,0,0,0,3.729
02-16-2021 13:00,.517,,.518,,,,3.492,3.492,0,0,0,3.661
02-16-2021 14:00,2.422,,.518,2.422,,,3.371,2.896,0,0,0,3.567
02-16-2021 15:00,2.442,,,2.442,,,,2.442,0,0,0,3.473
02-16-2021 16:00,2.541,,,2.541,,,,2.541,0,0,0,3.352
02-16-2021 17:00,2.459,,,2.459,,,,2.459,0,0,0,3.365
02-16-2021 18:00,2.336,,,2.336,,,,2.336,0,0,0,3.416
02-16-2021 19:00,2.305,,,2.305,,,,2.305,0,0,0,3.483
02-16-2021 20:00,2.348,,,2.348,,,,2.348,0,0,0,3.769
02-16-2021 21:00,2.413,,,2.413,,,,2.413,0,0,0,4.206
02-16-2021 22:00,2.37,,,2.37,,,,2.37,0,0,0,4.032
02-16-2021 23:00,2.208,,,2.208,,,,2.208,0,0,0,3.699
02-17-2021 00:00,1.935,,,1.935,,,,1.935,0,0,0,3.626
02-17-2021 01:00,1.617,,,1.617,,,,1.617,0,0,0,3.281
02-17-2021 02:00,1.69,,,1.69,,,,1.69,0,0,0,3.126
02-17-2021 03:00,1.605,,,1.605,,,,1.605,0,0,0,3.145
02-17-2021 04:00,1.472,,,1.472,,,,1.472,0,0,0,3.099
02-17-2021 05:00,2.129,,,2.129,,.818,,1.474,0,0,0,3.04
02-17-2021 06:00,2.113,,,2.113,,,,2.113,0,0,0,3.044
02-17-2021 07:00,2.087,,,2.087,,,,2.087,0,0,0,3.271
02-17-2021 08:00,2.152,,,2.152,,,,2.152,0,0,0,3.489
02-17-2021 09:00,2.37,,,2.37,,,,2.37,0,0,0,3.706
02-17-2021 10:00,2.559,,,2.559,,,,2.559,0,0,0,3.809
02-17-2021 11:00,2.646,,,2.646,,,,2.646,0,0,0,3.844
02-17-2021 12:00,2.401,,,2.401,,,,2.401,.001,0,0,3.927
02-17-2021 13:00,2.28,,,2.28,,,,2.28,0,0,0,3.899
02-17-2021 14:00,2.255,,,2.255,,,,2.255,0,0,0,3.817
02-17-2021 15:00,2.338,,,2.338,,,,2.338,0,0,0,3.75
02-17-2021 16:00,2.276,,,2.276,,,,2.276,0,0,0,3.949
02-17-2021 17:00,2.288,,,2.288,,,,2.288,0,0,0,3.816
02-17-2021 18:00,2.226,,,2.226,,,,2.226,0,0,0,4.068
02-17-2021 19:00,2.217,,,2.217,,,,2.217,0,0,0,3.976
02-17-2021 20:00,2.274,,,2.274,,,,2.274,0,0,0,3.996
02-17-2021 21:00,2.252,,,2.252,,,,2.252,0,0,0,3.828
02-17-2021 22:00,2.178,,,2.178,,,,2.178,0,0,0,3.745
02-17-2021 23:00,2.412,,,2.412,,,,2.412,0,0,0,3.531
02-18-2021 00:00,2.801,,,2.801,,,,2.801,0,0,0,3.351
02-18-2021 01:00,2.258,,,2.258,,,,2.258,0,0,0,3.246
02-18-2021 02:00,2.103,,,2.103,,,,2.103,0,0,0,3.124
02-18-2021 03:00,2.048,,,2.048,,,,2.048,0,0,0,3.03
02-18-2021 04:00,2.031,,,2.031,,,,2.031,0,0,0,3.142
02-18-2021 05:00,1.937,,,1.937,,,,1.937,0,0,0,3.132
02-18-2021 06:00,1.802,,,1.802,,.77,,1.286,0,0,0,3.151
02-18-2021 07:00,2.234,,,2.234,,,,2.234,0,0,0,3.346
02-18-2021 08:00,2.68,,,2.68,,,,2.68,0,0,0,3.71
02-18-2021 09:00,2.384,,,2.384,,,,2.384,0,0,0,4.014
02-18-2021 10:00,2.414,,,2.414,,,,2.414,0,0,0,3.942
02-18-2021 11:00,2.422,,,2.422,,,,2.422,0,0,0,3.714
02-18-2021 12:00,2.471,,,2.471,,,,2.471,0,0,0,3.793
02-18-2021 13:00,2.581,,,2.581,,,,2.581,0,0,0,3.729
02-18-2021 14:00,2.424,,,2.424,,,,2.424,0,0,0,3.644
02-18-2021 15:00,2.21,,,2.21,,,,2.21,0,0,0,3.467
02-18-2021 16:00,2.179,,,2.179,,,,2.179,0,0,0,3.512
02-18-2021 17:00,2.142,,,2.142,,,,2.142,0,0,0,3.33
02-18-2021 18:00,2.342,,,2.342,,,,2.342,0,.001,0,3.381
02-18-2021 19:00,2.383,,,2.383,,,,2.383,0,0,0,3.695
02-18-2021 20:00,2.372,,,2.372,,,,2.372,0,0,0,3.7
02-18-2021 21:00,2.233,,,2.233,,,,2.233,0,.001,0,3.856
02-18-2021 22:00,2.143,,,2.143,,,,2.143,0,0,0,3.67
02-18-2021 23:00,2.161,,,2.161,,,,2.161,0,0,0,3.359
02-19-2021 00:00,3.443,,,3.443,,,,3.443,0,0,0,3.42
02-19-2021 01:00,1.828,,,1.828,,,,1.828,0,0,0,3.259
02-19-2021 02:00,1.828,,,1.828,,,,1.828,0,0,0,3.2
02-19-2021 03:00,1.548,,,1.548,,,,1.548,0,0,0,3.068
02-19-2021 04:00,1.549,,,1.549,,,,1.549,0,0,0,3.027
02-19-2021 05:00,1.541,,,1.541,,,,1.541,0,0,0,2.86
02-19-2021 06:00,1.653,,,1.653,,,,1.653,0,0,0,2.893
02-19-2021 07:00,2.246,,,2.246,,2.276,,2.261,0,0,0,3.115
02-19-2021 08:00,2.104,,,2.104,,,,2.104,0,0,0,3.356
02-19-2021 09:00,2.23,,,2.23,,,,2.23,0,0,0,3.58
02-19-2021 10:00,2.517,,,2.517,,,,2.517,0,0,0,3.784
02-19-2021 11:00,2.611,,,2.611,,,,2.611,0,0,.001,3.76
02-19-2021 12:00,2.804,,,2.804,,,,2.804,0,0,.001,3.58
02-19-2021 13:00,2.517,,,2.517,,,,2.517,.001,0,0,3.566
02-19-2021 14:00,2.84,,,2.84,,,,2.84,0,0,.001,3.62
02-19-2021 15:00,2.446,,,2.446,,,,2.446,0,0,0,3.726
02-19-2021 16:00,2.492,,,2.492,,,,2.492,0,0,0,3.618
02-19-2021 17:00,2.646,,,2.646,,,,2.646,0,0,0,3.69
02-19-2021 18:00,2.276,,,2.276,,,,2.276,0,0,0,3.515
02-19-2021 19:00,2.39,,,2.39,,,,2.39,0,0,0,3.605
02-19-2021 20:00,2.566,,,2.566,,,,2.566,0,0,0,3.72
02-19-2021 21:00,2.209,,,2.209,,,,2.209,0,0,0,3.691
02-19-2021 22:00,2.114,,,2.114,,,,2.114,0,0,0,3.855
02-19-2021 23:00,2.275,,,2.275,,,,2.275,0,0,0,3.949
02-20-2021 00:00,2.081,,,2.081,,,,2.081,0,0,.005,3.356
02-20-2021 01:00,1.629,,,1.629,,,,1.629,0,0,0,3.285
02-20-2021 02:00,1.737,,,1.737,,,,1.737,0,0,0,3.143
02-20-2021 03:00,1.577,,,1.577,,,,1.577,0,0,0,3.136
02-20-2021 04:00,1.585,,,1.585,,,,1.585,0,0,0,3.086
02-20-2021 05:00,1.991,,,1.991,,,,1.991,0,0,0,2.895
02-20-2021 06:00,2.07,,,2.07,,,,2.07,0,0,0,2.904
02-20-2021 07:00,2.54,,,2.54,,,,2.54,0,0,0,3.003
02-20-2021 08:00,1.986,,,1.986,,2.879,,2.432,0,0,0,3.04
02-20-2021 09:00,2.352,,,2.352,,,,2.352,0,0,0,3.224
02-20-2021 10:00,2.477,,,2.477,,,,2.477,0,0,0,3.448
02-20-2021 11:00,2.485,,,2.485,,,,2.485,0,0,0,3.56
02-20-2021 12:00,2.955,,,2.955,,,,2.955,0,0,0,3.565
02-20-2021 13:00,2.758,,,2.758,,,,2.758,0,0,0,3.496
02-20-2021 14:00,2.752,,,2.752,,,,2.752,0,0,0,3.467
02-20-2021 15:00,2.872,,,2.872,,,,2.872,0,0,0,3.446
02-20-2021 16:00,2.979,,,2.979,,,,2.979,0,0,0,3.4
02-20-2021 17:00,2.855,,,2.855,,,,2.855,0,0,0,3.4
02-20-2021 18:00,2.905,,,2.905,,,,2.905,0,0,0,3.343
02-20-2021 19:00,2.906,,,2.906,,,,2.906,0,0,0,3.294
02-20-2021 20:00,2.537,,,2.537,,,,2.537,0,0,0,3.261
02-20-2021 21:00,2.339,,,2.339,,,,2.339,0,0,0,3.309
02-20-2021 22:00,2.502,,,2.502,,,,2.502,0,0,0,3.276
02-20-2021 23:00,2.346,,,2.346,,,,2.346,0,0,0,3.198
02-21-2021 00:00,2.14,,,2.14,,,,2.14,0,0,0,3.292
02-21-2021 01:00,1.888,,,1.888,,,,1.888,0,0,0,3.354
02-21-2021 02:00,1.714,,,1.714,,,,1.714,0,0,0,3.31
02-21-2021 03:00,1.876,,,1.876,,,,1.876,0,0,0,3.182
02-21-2021 04:00,1.618,,,1.618,,,,1.618,0,0,0,3.205
02-21-2021 05:00,1.571,,,1.571,,,,1.571,0,0,0,3.124
02-21-2021 06:00,1.801,,,1.801,,,,1.801,0,0,0,3.269
02-21-2021 07:00,1.57,,,1.57,,,,1.57,0,0,0,3.235
02-21-2021 08:00,1.84,,,1.84,,,,1.84,0,0,0,3.382
02-21-2021 09:00,2.383,,,2.383,,3.205,,2.794,0,0,0,3.745
02-21-2021 10:00,2.326,,,2.326,,,,2.326,0,0,0,3.804
02-21-2021 11:00,2.935,,,2.935,,,,2.935,0,0,0,3.911
02-21-2021 12:00,2.923,,,2.923,,,,2.923,0,0,0,3.943
02-21-2021 13:00,2.716,,,2.716,,,,2.716,0,0,0,3.953
02-21-2021 14:00,3.034,,,3.034,,,,3.034,0,0,0,3.842
02-21-2021 15:00,3.041,,,3.041,,,,3.041,0,0,0,3.774
02-21-2021 16:00,2.929,,,2.929,,,,2.929,0,0,0,3.631
02-21-2021 17:00,2.731,,,2.731,,,,2.731,0,0,0,3.624
02-21-2021 18:00,2.972,,,2.972,,,,2.972,0,0,0,3.672
02-21-2021 19:00,2.981,,,2.981,,,,2.981,0,0,0,3.625
02-21-2021 20:00,2.662,,,2.662,,,,2.662,0,0,0,3.69
02-21-2021 21:00,2.946,,,2.946,,,,2.946,0,0,0,3.89
02-21-2021 22:00,2.532,,,2.532,,,,2.532,0,0,0,3.838
02-21-2021 23:00,2.65,,,2.65,,,,2.65,0,0,0,3.855
02-22-2021 00:00,2.256,,,2.256,,,,2.256,.001,0,0,3.564
02-22-2021 01:00,1.958,,,1.958,,,,1.958,.003,.003,0,3.601
02-22-2021 02:00,1.792,,,1.792,,,,1.792,.003,.002,0,3.269
