DateTime,1037_GK-S-1_RAW-f-cfs,1037_GK-S-1_RAW-d-in,1037_GK-S-1_Missing,1037_GK-S-1_Realtime-f,1037_GK-S-1_COM-K,1037_GK-S-1_COM-M,1037_GK-S-1_COM-AUT,1037_GK-S-1_COM-I,1037_GK-S-1_COM,PG022_PG022_RN1,PG025_PG025_RN2,PG031_PG031_RN3,Greenline
02-15-2021 00:00,0,.14,,0,0,,,,0,0,0,.001,.321
02-15-2021 01:00,0,.137,,0,0,,,,0,0,0,0,.231
02-15-2021 02:00,0,.138,,0,0,,,,0,0,0,0,.109
02-15-2021 03:00,0,.135,,0,0,,,,0,0,.001,0,.122
02-15-2021 04:00,0,.132,,0,0,,,,0,0,.001,0,.17
02-15-2021 05:00,0,.128,,0,0,,,,0,0,.002,0,.251
02-15-2021 06:00,0,.103,,0,0,,,,0,0,.001,0,.275
02-15-2021 07:00,0,.133,,0,0,,,,0,0,.001,0,.165
02-15-2021 08:00,0,.122,,0,0,,,,0,0,0,0,.141
02-15-2021 09:00,0,.105,,0,0,,,,0,0,0,0,.163
02-15-2021 10:00,0,.12,,0,0,,,,0,0,0,0,.11
02-15-2021 11:00,0,.108,,0,0,,,,0,0,.001,0,.054
02-15-2021 12:00,0,.101,,0,0,,,,0,0,0,0,.056
02-15-2021 13:00,0,.093,,0,0,,,,0,0,0,0,.238
02-15-2021 14:00,0,.1,,0,0,,,,0,0,0,0,.237
02-15-2021 15:00,0,.095,,0,0,,,,0,0,0,0,.456
02-15-2021 16:00,0,.095,,0,0,,,,0,0,0,0,.697
02-15-2021 17:00,0,.098,,0,0,,,,0,0,0,0,.201
02-15-2021 18:00,0,.1,,0,0,,,,0,0,0,0,.049
02-15-2021 19:00,0,.102,,0,0,,,,0,0,.002,0,.048
02-15-2021 20:00,0,.109,,0,0,,,,0,0,.004,0,.037
02-15-2021 21:00,0,.113,,0,0,,,,0,0,.002,0,.026
02-15-2021 22:00,0,.113,,0,0,,,,0,0,.002,0,.06
02-15-2021 23:00,0,.11,,0,0,,,,0,0,.002,0,.074
02-16-2021 00:00,0,.105,,0,0,,,,0,0,.002,0,.036
02-16-2021 01:00,0,.105,,0,0,,,,0,0,.001,0,.025
02-16-2021 02:00,0,.101,,0,0,,,,0,0,.002,0,.019
02-16-2021 03:00,0,.102,,0,0,,,,0,0,.001,0,.017
02-16-2021 04:00,0,.096,,0,0,,,,0,0,0,0,.035
02-16-2021 05:00,0,.101,,0,0,,,,0,0,0,0,.033
02-16-2021 06:00,0,.1,,0,0,,,,0,0,0,0,.026
02-16-2021 07:00,0,.101,,0,0,,,,0,0,0,0,.022
02-16-2021 08:00,0,.102,,0,0,,,,0,0,0,0,.039
02-16-2021 09:00,0,.104,,0,0,,,,0,0,0,0,.212
02-16-2021 10:00,0,.103,,0,0,,,,0,0,0,0,.218
02-16-2021 11:00,0,.1,,0,0,,,,0,0,0,0,.23
02-16-2021 12:00,0,.104,,0,0,,,,0,0,0,0,.075
02-16-2021 13:00,0,.104,,0,0,,,,0,0,0,0,.105
02-16-2021 14:00,0,.106,,0,0,,,,0,0,0,0,.499
02-16-2021 15:00,0,.111,,0,0,,,,0,0,0,0,.534
02-16-2021 16:00,0,.109,,0,0,,,,0,0,0,0,.596
02-16-2021 17:00,0,.111,,0,0,,,,0,0,0,0,.062
02-16-2021 18:00,0,.122,,0,0,,,,0,0,0,0,.035
02-16-2021 19:00,0,.121,,0,0,,,,0,0,0,0,.097
02-16-2021 20:00,0,.118,,0,0,,,,0,0,0,0,.23
02-16-2021 21:00,0,.125,,0,0,,,,0,0,0,0,.355
02-16-2021 22:00,0,.121,,0,0,,,,0,0,0,0,.296
02-16-2021 23:00,0,.114,,0,0,,,,0,0,0,0,.153
02-17-2021 00:00,0,.111,,0,0,,,,0,0,0,0,.191
02-17-2021 01:00,0,.11,,0,0,,,,0,0,0,0,.16
02-17-2021 02:00,0,.109,,0,0,,,,0,0,0,0,.109
02-17-2021 03:00,0,.109,,0,0,,,,0,0,0,0,.062
02-17-2021 04:00,0,.11,,0,0,,,,0,0,0,0,.051
02-17-2021 05:00,0,.112,,0,0,,,,0,0,0,0,.025
02-17-2021 06:00,0,.108,,0,0,,,,0,0,0,0,.033
02-17-2021 07:00,0,.112,,0,0,,,,0,0,0,0,.016
02-17-2021 08:00,0,.115,,0,0,,,,0,0,0,0,.029
02-17-2021 09:00,0,.114,,0,0,,,,0,0,0,0,.049
02-17-2021 10:00,0,.11,,0,0,,,,0,0,0,0,.093
02-17-2021 11:00,0,.112,,0,0,,,,0,0,0,0,.164
02-17-2021 12:00,0,.114,,0,0,,,,0,.001,0,0,.191
02-17-2021 13:00,0,.115,,0,0,,,,0,0,0,0,.087
02-17-2021 14:00,0,.125,,0,0,,,,0,0,0,0,.043
02-17-2021 15:00,0,.124,,0,0,,,,0,0,0,0,.245
02-17-2021 16:00,0,.129,,0,0,,,,0,0,0,0,1.063
02-17-2021 17:00,0,.124,,0,0,,,,0,0,0,0,.138
02-17-2021 18:00,0,.124,,0,0,,,,0,0,0,0,.258
02-17-2021 19:00,0,.123,,0,0,,,,0,0,0,0,.543
02-17-2021 20:00,0,.116,,0,0,,,,0,0,0,0,.378
02-17-2021 21:00,0,.118,,0,0,,,,0,0,0,0,.449
02-17-2021 22:00,0,.121,,0,0,,,,0,0,0,0,.169
02-17-2021 23:00,0,.119,,0,0,,,,0,0,0,0,.111
02-18-2021 00:00,0,.119,,0,0,,,,0,0,0,0,.137
02-18-2021 01:00,0,.123,,0,0,,,,0,0,0,0,.194
02-18-2021 02:00,0,.123,,0,0,,,,0,0,0,0,.222
02-18-2021 03:00,0,.123,,0,0,,,,0,0,0,0,.182
02-18-2021 04:00,0,.124,,0,0,,,,0,0,0,0,.133
02-18-2021 05:00,0,.12,,0,0,,,,0,0,0,0,.11
02-18-2021 06:00,0,.12,,0,0,,,,0,0,0,0,.102
02-18-2021 07:00,0,.121,,0,0,,,,0,0,0,0,.093
02-18-2021 08:00,0,.121,,0,0,,,,0,0,0,0,.112
02-18-2021 09:00,0,.123,,0,0,,,,0,0,0,0,.29
02-18-2021 10:00,0,.118,,0,0,,,,0,0,0,0,.232
02-18-2021 11:00,0,.116,,0,0,,,,0,0,0,0,.102
02-18-2021 12:00,0,.116,,0,0,,,,0,0,0,0,.047
02-18-2021 13:00,0,.116,,0,0,,,,0,0,0,0,.245
02-18-2021 14:00,0,.119,,0,0,,,,0,0,0,0,.266
02-18-2021 15:00,0,.12,,0,0,,,,0,0,0,0,.159
02-18-2021 16:00,0,.119,,0,0,,,,0,0,0,0,.787
02-18-2021 17:00,0,.12,,0,0,,,,0,0,0,0,.058
02-18-2021 18:00,0,.117,,0,0,,,,0,0,.001,0,.041
02-18-2021 19:00,0,.121,,0,0,,,,0,0,0,0,.032
02-18-2021 20:00,0,.12,,0,0,,,,0,0,0,0,.064
02-18-2021 21:00,0,.121,,0,0,,,,0,0,.001,0,.194
02-18-2021 22:00,0,.12,,0,0,,,,0,0,0,0,.113
02-18-2021 23:00,0,.123,,0,0,,,,0,0,0,0,.038
02-19-2021 00:00,0,.124,,0,0,,,,0,0,0,0,.099
02-19-2021 01:00,0,.12,,0,0,,,,0,0,0,0,.077
