DateTime,33_ME-S-1_RAW-f-cfs,33_ME-S-1_Missing,33_ME-S-1_Realtime-f,33_ME-S-1_COM-K,33_ME-S-1_COM-T,33_ME-S-1_COM-M,33_ME-S-1_COM-AUT,33_ME-S-1_COM-I,33_ME-S-1_COM,PG004_PG004_RN1,PG006_PG006_RN2,PG010_PG010_RN3,Greenline
02-15-2021 00:00,1.695,,1.696,1.641,,,,,1.641,0,0,0,2.246
02-15-2021 01:00,1.539,,1.539,1.49,,,,,1.49,0,0,0,2.063
02-15-2021 02:00,1.382,,1.383,1.338,,,,,1.338,0,0,0,1.908
02-15-2021 03:00,1.333,,1.334,1.291,,,,,1.291,0,0,.001,1.805
02-15-2021 04:00,1.223,,1.224,1.184,,,,,1.184,0,0,.001,1.743
02-15-2021 05:00,1.15,,1.15,1.113,,,,,1.113,0,0,.001,1.709
02-15-2021 06:00,1.156,,1.157,1.12,,,,,1.12,0,0,0,1.794
02-15-2021 07:00,1.285,,1.285,1.244,,,,,1.244,0,0,.001,1.891
02-15-2021 08:00,1.501,,1.501,1.453,,,,,1.453,0,0,0,2.037
02-15-2021 09:00,1.608,,1.608,1.557,,,,,1.557,0,0,0,2.136
02-15-2021 10:00,1.651,,1.652,1.598,,,,,1.598,0,0,0,2.198
02-15-2021 11:00,1.604,,1.605,1.553,,,,,1.553,0,0,0,2.264
02-15-2021 12:00,1.773,,1.773,1.716,,,,,1.716,0,0,0,2.324
02-15-2021 13:00,1.924,,1.925,1.863,,,,,1.863,0,0,0,2.414
02-15-2021 14:00,1.939,,1.939,1.877,,,,,1.877,0,0,0,2.442
02-15-2021 15:00,1.92,,1.92,1.858,,,,,1.858,0,0,0,2.416
02-15-2021 16:00,1.937,,1.937,1.875,,,,,1.875,0,0,0,2.422
02-15-2021 17:00,1.96,,1.96,1.897,,,,,1.897,0,0,0,2.419
02-15-2021 18:00,1.945,,1.946,1.883,,,,,1.883,0,0,.001,2.397
02-15-2021 19:00,1.946,,1.946,1.884,,,,,1.884,0,0,.002,2.39
02-15-2021 20:00,1.946,,1.947,1.884,,,,,1.884,0,0,.005,2.395
02-15-2021 21:00,1.821,,1.821,1.763,,,,,1.763,0,0,.001,2.399
02-15-2021 22:00,1.738,,1.739,1.683,,,,,1.683,0,0,.001,2.382
02-15-2021 23:00,1.747,,1.721,1.691,,,1.597,,1.644,0,0,.001,2.286
02-16-2021 00:00,1.591,,1.592,1.54,,,,,1.54,0,0,.002,2.166
02-16-2021 01:00,1.507,,1.508,1.459,,,,,1.459,0,0,.001,1.993
02-16-2021 02:00,1.391,,1.392,1.347,,,,,1.347,0,0,.001,1.837
02-16-2021 03:00,1.352,,1.353,1.309,,,,,1.309,0,0,0,1.739
02-16-2021 04:00,1.193,,1.194,1.155,,,,,1.155,0,0,0,1.717
02-16-2021 05:00,1.297,,1.298,1.256,,,,,1.256,0,0,0,1.722
02-16-2021 06:00,1.249,,1.25,1.21,,,,,1.21,0,0,0,1.755
02-16-2021 07:00,1.288,,1.288,1.247,,,,,1.247,0,0,0,1.868
02-16-2021 08:00,1.239,,1.239,1.199,,,,,1.199,0,0,0,1.973
02-16-2021 09:00,1.328,,1.329,1.286,,,,,1.286,0,0,0,2.081
02-16-2021 10:00,1.444,,1.444,1.398,,,,,1.398,0,0,0,2.141
02-16-2021 11:00,1.652,,1.652,1.599,,,,,1.599,0,0,0,2.223
02-16-2021 12:00,1.744,,1.744,1.688,,,,,1.688,0,0,0,2.279
02-16-2021 13:00,1.898,,1.899,1.837,,,,,1.837,0,0,0,2.338
02-16-2021 14:00,2.036,,2.037,1.972,,,,,1.972,0,0,0,2.376
02-16-2021 15:00,1.957,,1.957,1.895,,,,,1.895,0,0,0,2.386
02-16-2021 16:00,1.878,,1.879,1.818,,,,,1.818,0,0,0,2.356
02-16-2021 17:00,2.055,,2.056,1.99,,,,,1.99,0,0,0,2.359
02-16-2021 18:00,1.916,,1.916,1.855,,,,,1.855,0,0,0,2.36
02-16-2021 19:00,1.942,,1.942,1.88,,,,,1.88,0,0,0,2.366
02-16-2021 20:00,2.01,,2.01,1.946,,,,,1.946,0,0,0,2.339
02-16-2021 21:00,2.087,,2.044,2.02,,,2.086,,2.053,0,0,0,2.451
02-16-2021 22:00,1.896,,1.897,1.836,,,,,1.836,0,0,0,2.494
02-16-2021 23:00,1.736,,1.737,1.681,,,,,1.681,0,0,0,2.426
02-17-2021 00:00,1.582,,1.583,1.532,,,,,1.532,0,0,0,2.176
02-17-2021 01:00,1.393,,1.393,1.349,,,,,1.349,0,0,0,2.014
02-17-2021 02:00,1.357,,1.358,1.314,,,,,1.314,0,0,0,1.85
02-17-2021 03:00,1.205,,1.205,1.166,,,,,1.166,0,0,0,1.732
02-17-2021 04:00,1.089,,1.089,1.054,,,,,1.054,0,0,0,1.717
02-17-2021 05:00,1.168,,1.234,1.131,,,,,1.131,0,0,0,1.694
02-17-2021 06:00,1.217,,1.217,1.178,,,,,1.178,0,0,0,1.728
02-17-2021 07:00,1.291,,1.291,1.25,,,,,1.25,0,0,0,1.825
02-17-2021 08:00,1.362,,1.363,1.319,,,,,1.319,0,0,0,1.955
02-17-2021 09:00,1.59,,1.591,1.54,,,,,1.54,0,0,0,2.033
02-17-2021 10:00,1.708,,1.708,1.654,,,,,1.654,0,0,0,2.093
02-17-2021 11:00,1.752,,1.753,1.697,,,,,1.697,0,0,0,2.173
02-17-2021 12:00,1.899,,1.899,1.838,,,,,1.838,0,0,0,2.291
02-17-2021 13:00,1.893,,1.894,1.833,,,,,1.833,0,0,0,2.375
02-17-2021 14:00,1.944,,1.944,1.882,,,,,1.882,0,0,0,2.403
