DateTime,5_OC-S-1_RAW-f-cfs,5_OC-S-1_Missing,5_OC-S-1_Realtime-f,5_OC-S-1_COM-K,5_OC-S-1_COM-M,5_OC-S-1_COM-AUT,5_OC-S-1_COM-I,5_OC-S-1_COM,PG007_PG007_RN1,PG013_PG013_RN2,PG032_PG032_RN3,Greenline
02-15-2021 00:00,48.661,,48.661,48.422,,,,48.422,0,0,0,56.878
02-15-2021 01:00,44.25,,44.251,44.033,,,,44.033,0,0,0,55.131
02-15-2021 02:00,39.655,,39.656,39.461,,,,39.461,0,.001,0,51.416
02-15-2021 03:00,38.011,,38.012,37.825,,,,37.825,0,.001,0,47.931
02-15-2021 04:00,33.488,,36.496,36.462,35.882,,,36.172,0,0,0,43.61
02-15-2021 05:00,35.068,,35.068,34.896,,,,34.896,0,.002,0,40.641
02-15-2021 06:00,28.008,,28.008,27.871,,,,27.871,0,.001,0,38.058
02-15-2021 07:00,28.207,,28.208,28.069,,,,28.069,0,0,0,36.418
02-15-2021 08:00,28.197,,28.198,28.059,,,,28.059,0,.001,0,37.656
02-15-2021 09:00,29.702,,29.703,29.557,,,,29.557,0,0,0,39.122
02-15-2021 10:00,30.376,,33.385,32.437,35.573,,,34.005,0,0,0,44.705
02-15-2021 11:00,38.253,,38.254,38.066,,,,38.066,0,0,0,50.124
02-15-2021 12:00,46.308,,46.308,46.081,,,,46.081,0,0,0,55.894
02-15-2021 13:00,47.86,,47.86,47.625,,,,47.625,0,0,0,58.787
02-15-2021 14:00,48.568,,48.568,48.33,,,,48.33,0,0,0,60.101
02-15-2021 15:00,55.706,,55.707,55.433,,,,55.433,0,0,0,60.051
02-15-2021 16:00,49.411,,49.411,49.169,,,,49.169,0,0,0,58.16
02-15-2021 17:00,49.61,,49.61,49.366,,,,49.366,0,0,0,57.828
02-15-2021 18:00,51.628,,51.629,51.375,,,,51.375,0,0,0,56.542
02-15-2021 19:00,44.559,,44.56,44.341,,,,44.341,0,.001,0,54.342
02-15-2021 20:00,47.993,,47.994,47.758,,,,47.758,0,.003,0,54.704
02-15-2021 21:00,49.206,,49.207,48.965,,,,48.965,0,.001,0,55.289
02-15-2021 22:00,44.519,,44.519,44.301,,,,44.301,0,.001,0,56.26
02-15-2021 23:00,53.325,,53.326,53.064,,,,53.064,0,.001,0,57.526
02-16-2021 00:00,43.48,,43.48,43.267,,,,43.267,0,.014,0,57.186
02-16-2021 01:00,44.949,,44.949,44.729,,,,44.729,0,.001,0,55.658
02-16-2021 02:00,46.016,,46.017,45.791,,,,45.791,0,.001,0,52.341
02-16-2021 03:00,38.457,,38.457,38.268,,,,38.268,0,0,0,48.04
02-16-2021 04:00,36.423,,36.423,36.244,,,,36.244,0,0,0,44.338
02-16-2021 05:00,30.579,,30.58,30.43,,,,30.43,0,0,0,40.646
02-16-2021 06:00,29.964,,29.965,29.817,,,,29.817,0,0,0,38.051
02-16-2021 07:00,28.684,,28.685,28.544,,,,28.544,0,0,0,37.286
02-16-2021 08:00,28.406,,28.407,28.267,,,,28.267,0,0,0,38.013
02-16-2021 09:00,29.448,,29.448,29.304,,,,29.304,0,0,0,40.265
02-16-2021 10:00,32.495,,32.495,32.336,,,,32.336,0,0,0,44.839
02-16-2021 11:00,38.585,,38.586,38.396,,,,38.396,0,0,0,50.584
02-16-2021 12:00,40.115,,40.116,39.918,,,,39.918,0,0,0,55.351
02-16-2021 13:00,46.759,,46.759,46.53,,,,46.53,0,0,0,58.294
02-16-2021 14:00,47.384,,47.385,47.152,,,,47.152,0,0,0,58.824
02-16-2021 15:00,47.794,,47.795,47.56,,,,47.56,0,0,0,58.553
02-16-2021 16:00,54.856,,54.857,54.587,,,,54.587,0,0,0,56.774
02-16-2021 17:00,46.097,,46.098,45.872,,,,45.872,0,0,0,55.895
02-16-2021 18:00,45.127,,45.128,44.906,,,,44.906,0,0,0,54.622
02-16-2021 19:00,46.921,,46.921,46.691,,,,46.691,0,0,0,54.132
02-16-2021 20:00,50.09,,50.09,49.844,,,,49.844,0,0,0,54.664
02-16-2021 21:00,43.924,,43.924,43.708,,,,43.708,0,0,0,56.022
02-16-2021 22:00,47.019,,47.019,46.788,,,,46.788,0,0,0,57.483
02-16-2021 23:00,50.803,,50.804,50.554,,,,50.554,0,0,0,58.342
02-17-2021 00:00,43.535,,43.535,43.321,,,,43.321,0,.003,0,57.075
02-17-2021 01:00,50.393,,50.393,50.146,,,,50.146,0,0,0,54.902
02-17-2021 02:00,41.104,,41.105,40.903,,,,40.903,0,0,0,52.189
02-17-2021 03:00,38.784,,38.785,38.594,,,,38.594,0,0,0,47.605
02-17-2021 04:00,36.659,,36.659,36.479,,,,36.479,0,0,0,44.31
02-17-2021 05:00,30.343,,30.344,30.194,,,,30.194,0,0,0,40.178
02-17-2021 06:00,29.358,,29.358,29.214,,,,29.214,0,0,0,37.97
02-17-2021 07:00,28.27,,28.27,28.131,,,,28.131,0,0,0,35.942
02-17-2021 08:00,28.815,,28.815,28.673,,,,28.673,0,0,0,36.798
02-17-2021 09:00,30.073,,30.074,29.926,,,,29.926,0,0,0,40.179
02-17-2021 10:00,33.625,,33.625,33.46,,,,33.46,0,0,0,44.091
02-17-2021 11:00,41.139,,41.139,40.937,,,,40.937,0,0,0,49.928
02-17-2021 12:00,44.357,,44.358,44.14,,,,44.14,0,0,0,55.902
02-17-2021 13:00,53.562,,53.563,53.3,,,,53.3,0,0,0,58.643
