,MAE,RMSE,NSE,alpha,beta,HFV,HFV10,LFV,FDC,model
1771,0.0510538178041272,0.0658503808413869,0.9623302193617632,0.8464258400186984,0.999866230691124,0.9153849865914382,0.892962556860724,13.936628251912316,2.995073600788401,p3t2
36504,0.0653172403023241,0.0775056099199915,0.8238523263160085,1.1384921952766736,0.7964050295660137,0.9450119756535638,1.048554892796398,0.034740408903907,0.5589442123096758,p3t2
37026,0.1356473181969608,0.2053718783553251,-1.037842698083256,0.0896019197924024,-0.1811594989591289,-0.0064470760418315,-0.0104412695757075,-2.6283010767072743,-0.4460562718115907,p3t1
37035,0.0925001452187438,0.1035471907178058,0.6302010049597757,0.8219291221509255,1.5265563078674966,1.0772562353957296,1.0895864753075606,4.131681384124069,2.25612322162468,p3t1
88-50446,0.0462151775481858,0.0820355128819823,0.634957096502108,1.0268941830376364,0.6375147941704752,1.3926654011035904,1.039946603945827,-6.02319997661214e-11,1.5667490193261752e-08,p3t1
88-50715,0.1650832170311257,0.3997762684865906,0.5895762328381704,1.2252876502942258,1.5304972634597882,1.1949768900950568,1.2165013628675383,-1.807500825484997e-11,0.0049680957166502,p3t2
88-50716,0.1796651555275302,0.422942759682739,0.5475133538817458,1.2528514985601409,1.6263787329721926,1.2278961070047465,1.248017831345199,-1.665035771212575e-11,0.0071470105751692,p3t2
88-51031,0.0409591757208217,0.0840043007414034,0.8370905852687204,0.8673404331207257,0.6790149002348028,1.0439571218197312,0.8484469025100139,-4.0451934490297626e-11,8.19735322907917e-08,p3t1
88-52083,0.1221270228800796,0.1647945174701733,0.6591539967168872,1.0479837881326912,0.6673877704588186,1.0347975065490371,0.9873385469939288,3.770701751536603e-06,0.0128571321864826,p3t2
88-53700,0.0143489156447589,0.0184165403455812,-1.4132421867446898,0.0364999120258578,0.0154136145363433,0.043059396420524,0.0400812183485849,-0.0001490982028427,0.0008625515474677,p3t2
88-53735,0.243101802000955,0.362279859021048,-0.122880918695547,0.4044573782635173,0.2354658429423587,0.4849923221315206,0.444038669469691,2.1812311677321315e-07,0.0020410128254816,p3t1
88-53946,0.0673870621515755,0.1353515692352879,0.8106240446505694,0.8577592318034345,0.667600469032472,0.9742143448123888,0.848233894433481,-5.3014751269736406e-12,1.6608472484661651e-06,p3t1
88-54374,0.0421760931782395,0.0896045240075676,0.6029416487001669,0.6955593975422572,0.7176244512198857,0.6812120369689546,0.723087160063711,-0.0142582402415177,2.013603018648873,p3t1
88-54776,0.1194006074980813,0.1968741509736272,0.6096192605866322,0.8661102326142196,0.5644729097580253,1.008120981074217,0.8600779370195585,4.231678550174024e-07,0.0007934774044964,p3t2
88-55436,0.0366635589750686,0.0841587192055942,0.857436458849135,0.9916380592380531,0.9717542265215622,0.908815014918915,1.0041681370669795,-1.9362498171764635e-11,9.417800590663306e-07,p3t1
88-55449,0.2250832277793218,0.4740277290485926,0.1482077655860594,0.2022127088439937,0.2084496053249932,0.1990024213099717,0.2103711903134866,-0.2883063794373522,0.0689111173522554,p3t2
88-55492,0.0067670214146054,0.0118194798435264,0.8770824125620252,0.9568841278271216,0.6784092060902208,1.0939961701757108,0.9007859776726738,-1.1024990697225809e-12,-7.164130746210304e-16,p3t2
88-56149,0.0549723513713599,0.1959611541435771,-0.3928913795889712,0.4457241802393743,0.3745626126087024,0.2488261873182821,0.3994047533151767,-247.29602120769175,-2.2372462447353877e-14,p3t2
88-56279,0.0196578506531222,0.0374948424085391,0.9181076187667188,0.9937301591223944,0.79861463499922,1.128904053067788,0.9684161159547052,-0.0001622423882121,7.572989864226348e-11,p3t2
88-59120,0.0221902979272685,0.0237004443198887,0.9761963636788008,1.0194565068950123,0.8918748451530508,0.9719740149647992,0.9803204440907296,0.6604227477173206,0.8045481060794293,p3t2
88-60849,0.1038054364644798,0.240567477757246,-1.873739888562015,0.5498562517222201,-0.4951143813196137,8.843598048764964e-05,2.4630341526656832e-05,-1123.1029117395938,-0.0004668750393268,p3t1
88-60866,0.0386010698093545,0.0684624724008798,0.803237826891265,0.79486066548596,0.5369390754128536,0.9182076033472047,0.7394158283911466,-2.058405121776625e-12,-2.1621938900287651e-16,p3t1
88-60871,0.0187066196011811,0.0408757874621399,0.9350461168168134,0.8237217945176625,0.8008765281491843,0.8724378341717812,0.8126474967864272,0.003775556228048,0.6018769133005737,p3t1
88-61060,0.0138418312082375,0.0299677493245413,0.9197932076440828,1.0066971326440004,0.8087040607428813,1.12257056075419,0.9435432698461091,-0.0172004264140822,-7.981095416775667e-16,p3t2
88-61975,0.0338027930807875,0.1172746383524081,0.5454407131415668,0.7216572531147956,0.6444978694946597,0.7615711016589245,0.66973826825583,-2.2946767949066e-11,-3.901819864379351e-15,p3t2
88-62363,0.0373138907848815,0.1186282175914445,-0.0135847950613003,0.0960160455025693,0.0932807941834463,0.047667162934596,0.086632535950605,-3.8675426928196655,1.069600678045008e-05,p3t2
88-63154,0.0252745825470405,0.046446360323587,0.8611493852597807,1.0428559975626697,0.7342382075223193,1.2108631552219915,0.9836940767506788,-9.125711123083977e-13,-9.46708312615646e-16,p3t1
88-64736,0.0297152679742454,0.0638787514520662,0.9420505778997303,1.1051389886226002,0.9923115568554846,1.1867061276728634,1.0869338597696736,-2.7800666872866128e-11,7.547072430871536e-12,p3t2
88-90982,0.0156873805517024,0.0311584089393137,0.9387838856477978,0.912680486958877,0.7808665106918271,1.0079249288611845,0.9066543952025726,-6.7094598933946335e-12,3.5532568230306875e-08,p3t1
91-50247,0.1088078913528518,0.1840366241580075,-0.3703647404236008,0.3431517525524263,0.4252049130039793,0.2969631283440627,0.3151987093975755,0.2892813065578187,0.4903317565349985,p3t2
91-50291,0.1451742959980724,0.1716632483757266,0.8129355720961918,1.114095963380737,0.7826901641541884,0.9938705200798248,1.0594492396473283,0.3599435674254534,0.4366414186617937,p3t1
91-50307,0.5729479918611884,0.889016742561066,0.1501861025199132,0.7176897692403428,0.4328052404680887,0.5520956044620512,0.6694671569810683,6.501267371116304e-05,0.0523332334646637,p3t2
91-50357,0.0395200764960139,0.0610533666103977,0.9399101421206734,1.077709555804388,1.01104903110907,1.0712243496977638,1.0653773488685343,0.8235400629907195,0.897926203450997,p3t2
