site_no,site_tp_cd,dec_lat_va,dec_long_va,state_cd,alt_va,huc_cd,basin_cd,topo_cd,drain_area_va,contrib_drain_area_va
11027000,ST,33.1158743,-116.9530841,06, 610.00,18070304,,,22.5,
09419659,ST,36.22864167,-115.0742806,32,1839.96,15010015,,,17.51,
09419740,ST,36.044699,-114.9591584,32,1852.27,15010015,,,3.78,
09184600,ST,38.44580556,-109.38525,49,5702,14030005,,C,30.5,
10172700,ST,39.97939105,-112.3802297,49,6207.07,16020304,10,C,25.0,
09383400,ST,34.0167143,-109.4573125,04, 8283.,15020001,,,29.1,29.1
09400815,ST,35.05494444,-111.4892222,04, 6860,15020015,03,C,22.3,
09470700,ST,31.5034722,-110.0052778,04, 4767.81,15050202,,,8.74,
09470750,ST,31.44666667,-110.3058333,04, 5525,15050202,,,4.11,
09484000,ST,32.3147222,-110.8109167,04, 2720.,15050302,,,35.5,
09484580,ST,31.86175124,-110.691193,04, 4364.,15050302,10,,14.1,
09497700,ST,34.1572222,-110.5111111,04, 7200,15060104,,,30.5662,
09498503,ST,33.79726985,-110.9603953,04, 5440.,15060103,,,1.09,
09502960,ST,34.55196864,-112.4623913,04, 5285.,15060202,,C,30.,
06711575,ST,39.6717222,-104.9770278,08, 5320,10190002,,,3.98,
06720460,ST,39.8080421,-104.7938618,08, 5289.63,10190003,,,28.2,
07100750,ST,38.8881111,-104.9356944,08, 7391,11020003,07,,1.01,
07103100,ST,38.88880278,-104.918825,08, 7120,11020003,07,,1.83,
07103703,ST,38.87693609,-104.8727543,08, 6310,11020003,,,9.38,
07103800,ST,38.97054766,-104.902758,08, 7180,11020003,,,14.8,
07103980,ST,38.93943809,-104.7410863,08, 6680,11020003,,,10.2,
07105000,ST,38.82249078,-104.888586,08, 6520,11020003,,,6.89,
07105490,ST,38.79054685,-104.8641404,08, 6280,11020003,,,21.7,
09034900,ST,39.76026447,-105.9064014,08, 10430,14010001,,,5.60,
09065100,ST,39.56829167,-106.4124306,08, 7992,14010003,,,34.0,
09096100,LK,39.22497969,-107.8117297,08, 8000,14010005,,L,24.1,
09143500,ST,38.9016487,-107.921176,08, 6220.00,14020005,,,38.5,
08329700,ST,35.09388889,-106.6236111,35, 5143,13020203,,,3.80,
08329838,ST,35.1211111,-106.5677778,35, 5298.00,13020203,,,2.03,
08329840,ST,35.12587778,-106.5903028,35,5190,13020203,,,4.23,
08329880,ST,35.1511111,-106.5730556,35, 5305,13020203,,,0.12,0.12
08330200,ST,35.04888889,-106.6486111,35, 4946,13020203,,,1.82,
08330775,ST,35.00277778,-106.6572222,35, 4930,13020203,,,11,
08386505,ST,33.33653056,-105.7263083,35,7163.91,13060008,,,18.3,
07298150,ST,34.47800556,-101.4299667,48, 3237,11120104,,,13.7,0.21
07299575,ST,34.3951861,-100.0562417,48, 1669,11130101,,,0.07,0.07
07299825,ST,35.11317778,-101.1867639,48, 3100,11120201,,C,1.88,1.88
07312380,LK,33.98676138,-98.7520075,48, 0,11130206,,L,33.0,33.0
08049580,ST,32.49097237,-97.1230646,48,580.63,12030102,,,25.5,25.5
08050840,ST,33.52622016,-96.8072191,48, 621.08,12030103,,,29.2,29.2
08063040,ST,32.05466944,-96.9065194,48, 487,12030108,,,36.9,
08063600,LK,32.34181055,-96.8052735,48, 0,12030109,,L,30.0,30.0
08072760,ST,29.86717035,-95.646612,48, 0.0,12040104,,,24.6,24.6
08079120,ST-TS,28.95108115,-95.3388276,48, 0,12040205,,G,1.38,1.38
08082900,ST,33.18135,-99.3697083,48, 1605,12060101,,,3.58,3.58
08100630,ST,31.323225,-97.7576639,48, 854.52,12070201,,,11.2,
08101310,ST,31.16493889,-97.8781944,48,840.36,12070202,12,,12.7,12.7
08101330,ST,31.12927778,-97.8181389,48, 832.44,12070202,12,,18.3,18.3
08105886,ST,30.46555556,-97.7878889,48,897.58,12070205,,,2.15,2.15
08107950,ST,31.01306944,-97.1100833,48,411.26,12070204,,,15.9,15.9
08127090,ST,30.9786111,-100.575,48, 2270,12090102,,C,0.14,0.14
08128095,ST,31.2108,-101.1760556,48, 2528,12090102,,C,7.75,7.75
08143700,ST,31.51690833,-98.5668083,48, 1490,12090107,,,2.48,2.48
08158110,LK,30.45,-97.679675,48, 0,12090205,14,,0.34,
